Nom de votre librairie,Adresse postale,Code postal,Ville,Latitude,Longitude
Librairie l'étagère,20 rue Gustave Flaubert,35400,SAINT-MALO,48.639746696,-1.98082437
La Sirene,2 Quai des Cabestans,56640,ARZON,47.547445946,-2.887023555
La Librairie des Rouairies,15 rue des Rouairies,22100,DINAN,48.455198781,-2.047796652
Tom librairie,8 place de l'Hôtel de ville,22700,PERROS-GUIREC,48.809568274,-3.468035751
Le Silence de la Mer,5 place Saint-Pierre,56000,VANNES,47.659902935,-2.75681901
La Procure et La Malle de Corentin,5 rue Amiral de la Grandière,29000,QUIMPER,47.996886631,-4.091003018
Librairies de Port Maria,1 quai de l'Océan,56170,QUIBERON,47.487977711,-3.122853165
Les Passagers du Livre,28 rue de la Fontaine Blanche,29800,LANDERNEAU,48.451332201,-4.264286874
Excalibulle,9 place de la Liberté,29200,BREST,48.399900098,-4.502770256
Momie St Malo,5 rue Gouin de Beauchesne,35400,SAINT-MALO,48.639746696,-1.98082437
Ar Vro,4 bis place de la Liberté,29770,AUDIERNE,48.02419022,-4.54386608
Librairie du Voyage - Ariane,20 rue du Capitaine Dreyfus,35000,RENNES,48.111571435,-1.681685888
Liliroulotte,3 place de l'Eglise,29100,POULDERGAT,48.040467209,-4.326516083
Le Comptoir Gâvrais,31 avenue des Sardiniers,56680,GÂVRES,47.695124083,-3.333829566
Librairie Critic,19 rue Hoche,35000,RENNES,48.111571435,-1.681685888
La Courte Échelle,26-30 rue Vasselot,35000,RENNES,48.111571435,-1.681685888
La Procure,17 place Valencia,56000,VANNES,47.659902935,-2.75681901
Gwennili,36 rue du Général de Gaulle,29590,LE FAOU,48.30518241,-4.143210718
Dialogues Morlaix,9 rue d'Aiguillon,29600,MORLAIX,48.600213352,-3.820326315
L'Établi des mots,15 avenue de Pologne,35200,RENNES,48.111571435,-1.681685888
Pécari Amphibie,1 rue Saint-Louis,35000,RENNES,48.111571435,-1.681685888
A La Lettre Thé,9 place de Viarmes,29600,MORLAIX,48.600213352,-3.820326315
Coccibulle,51 rue de Liège,56100,LORIENT,47.750262993,-3.37883364
Librairie Le Grenier,6 place Duclos,22100,DINAN,48.455198781,-2.047796652
Librairie du Golfe,15 rue de la Victoire,56740,LOCMARIAQUER,47.577547802,-2.962944449
Ty Bull...Tome 2,13 Rue Saint-Hélier,35000,RENNES,48.111571435,-1.681685888
Librairie Sillage,Place de Bretagne,56270,PLOEMEUR,47.732501633,-3.442192981
Au Détour d'une Page,2 rue Saint-Michel,35150,JANZÉ,47.942549417,-1.50102029
Librairie & Curiosités,1 bis rue Toul al Laer,29000,QUIMPER,47.996886631,-4.091003018
Pages et Images,74 rue Georges Clemenceau,35400,SAINT-MALO,48.639746696,-1.98082437
Les Mystères de Merlin,15 rue Beaumanoir,56800,PLOËRMEL,47.922364761,-2.38301676
Book Hémisphères,3 route de Vannes,56700,KERVIGNAC,47.768848968,-3.247804815
Le Chenal,13 rue du Port,29840,PORSPODER,48.49825819,-4.753266441
Greenwich,1 rue Jean Jaurès,35000,RENNES,48.111571435,-1.681685888
